file,newspaper,title,date,category
50108.txt,www.zugo.md,foto | #EroulSaptaminii. Un sofer de troleibuz a salvat o zi de nastere. Ce gest marinimos a facut pentru a ajuta o tinara?,2018-09-30T17:23:39+00:00,Stiri
50109.txt,www.zugo.md,"Unde e Andrei Nastase, este si Andrei Nastas. Liderul PPDA ar putea avea la alegeri un contracandidat cu un nume asemanator",2018-12-31T17:22:57+00:00,Stiri
50110.txt,www.zugo.md,"Si-ar fi pus capat zilelor din cauza datoriilor. Un barbat din Drochia, gasit fara suflare in propria gospodarie",2019-04-30T14:21:30+00:00,Stiri
50111.txt,www.zugo.md,"foto | Despre casa, bucate sau oameni. Ce carti au fost lansate in 2018 de scriitorii moldoveni?",2018-11-17T11:15:19+00:00,Stiri
50112.txt,www.zugo.md,Inca o ruta de troleibuz isi prelungeste programul pina dupa miezul noptii. La ce interval de timp va circula?,2019-01-31T17:11:41+00:00,Stiri
50113.txt,www.zugo.md,"foto | Doi soti, pe doua roti. O familie din Moldova a calatorit peste 13.000 de km cu motocicleta pina in Africa",2018-08-02T12:41:31+00:00,Stiri
50114.txt,www.zugo.md,"foto, video | #PrimaData. Nebunie, inaltime si multa adrenalina. Cum sa te pregatesti pentru prima experienta extrema?",2018-11-20T11:05:37+00:00,Stiri
50115.txt,www.zugo.md,"O adolescenta din Orhei, gasita strangulata in pod. Au incercat sa o resusciteze, dar fara succes",2019-02-28T17:55:02+00:00,Stiri
50116.txt,www.zugo.md,"foto | 3,5 milioane de lei, duse odata cu zapada. Scarile din fata Guvernului, proaspat renovate, se macina",2019-01-31T18:51:23+00:00,Stiri
50117.txt,www.zugo.md,Vizitatorii localitatii Magdacesti pot gasi adresele fara GPS: Au fost instalate indicatoare noi,2019-04-30T18:07:55+00:00,Stiri
50118.txt,www.zugo.md,TOP ZUGO | Au surprins in imagini momentele frumoase din 2018. Cine sunt cei mai buni fotografi moldoveni ai anului?,2018-12-31T15:09:34+00:00,Stiri
50119.txt,www.zugo.md,"Un baietel de un an, diagnosticat cu ciroza hepatica, are nevoie de un transplant pentru a supravietui",2025-01-10T10:11:06+00:00,Stiri
50120.txt,www.zugo.md,Ciinele lui George Bush are o noua slujba. Sully „a depus juramintul de credinta” unui centru militar,2019-02-28T19:10:07+00:00,Stiri
50121.txt,www.zugo.md,Moartea elitelor militare. Ce se cunoaste despre pierderile Rusiei in Ucraina pina in prezent,2025-01-11T06:59:00+00:00,Stiri
50122.txt,www.zugo.md,Melomanii sarbatoresc astazi Ziua Internationala a Jazzului. Delecteaza-te cu top 10 cele mai frumoase melodii in acest stil,2019-04-30T17:37:06+00:00,Stiri
50123.txt,www.zugo.md,video | Ei deja au schimbat calendarul. Australia l-a petrecut pe 2018 cu un foc de artificii spectaculos,2018-12-31T16:17:57+00:00,Stiri
50124.txt,www.zugo.md,video | „Ma rog pentru poporul moldovenesc si pentru viitorul tarii noastre”. Igor Dodon s-a impartasit pe muntele Athos,2019-03-31T14:04:31+00:00,Stiri
50125.txt,www.zugo.md,"foto, video | Multumiri, concluzii si urari de sanatate. Ce mesaje de felicitare au transmis politicienii in ajunul Revelionului?",2018-12-31T16:27:31+00:00,Stiri
50126.txt,www.zugo.md,"foto | Iarna si-a luat ramas bun, pictind cerul in nuante de foc. Cum s-a vazut ultimul apus din februarie prin obiectivele moldovenilor?",2019-02-28T18:34:04+00:00,Stiri
50127.txt,www.zugo.md,foto | Ed Sheeran a spus „adio” vietii de burlac. Cintaretul s-a casatorit in secret cu iubita sa din copilarie,2019-02-28T19:21:18+00:00,Stiri
50128.txt,www.zugo.md,"Dodon, convins ca Moldova nu va deveni membra a UE in urmatorii 10-15 ani: „Trebuie sa pastram neutralitatea”",2019-01-31T18:24:49+00:00,Stiri
50129.txt,www.zugo.md,doc | Maia Sandu a depus declaratia de avere pentru anul 2024,2025-01-10T10:01:33+00:00,Stiri
50130.txt,www.zugo.md,E oficial. Cetatenii romini vor putea calatori fara vize in SUA de la 31 martie,2025-01-10T19:56:06+00:00,Stiri
50131.txt,www.zugo.md,foto | Sute de vizitatori si zeci de tone de fructe vindute pina acum. Cum decurge tirgul „Ia Moldova Acasa”?,2019-03-31T13:38:18+00:00,Stiri
50132.txt,www.zugo.md,"Un barbat din Ungheni, gasit fara suflare intr-o fintina de canalizare din apropierea unei gradinite",2019-04-30T14:50:49+00:00,Stiri
50133.txt,www.zugo.md,Sfaturi ZUGO | Sanctionati pe nedrept de ofiterii de patrulare? Pasii pe care ii pot face soferii pentru a-si demonstra nevinovatia,2018-08-14T09:48:40+00:00,Stiri
50134.txt,www.zugo.md,"foto | Un om de zapada, vedeta orasului Balti. Uriasul are circa 5 metri si poate „cistiga” 26.000 de lei",2019-01-31T16:51:06+00:00,Stiri
50135.txt,www.zugo.md,Martie aduce viata: Fii primavara celor care au nevoie de transfuzie de singe,2019-02-28T18:35:06+00:00,Stiri
50136.txt,www.zugo.md,Sfaturi ZUGO | 10 reguli elementare cind calatoresti cu transportul public: Nu e necesar sa cedezi locul persoanelor in virsta,2018-09-25T10:07:33+00:00,Stiri
50137.txt,www.zugo.md,foto | #EroinaSaptaminii. Imparte vitamine in toata Moldova. O profesoara din Ungheni a daruit zeci de kilograme de mere din livada sa,2018-10-28T15:01:43+00:00,Stiri
50138.txt,www.zugo.md,"video | Un nou mesaj in limba romina, rostit de ambasadorul SUA: „Suntem binecuvintati ca petrecem aceste sarbatori in Moldova”",2018-12-31T14:04:40+00:00,Stiri
50139.txt,www.zugo.md,opinie | Anticipatele le-ar putea aduce democratilor mai multe voturi decit au obtinut pe 24 februarie,2019-02-28T19:55:29+00:00,Stiri
50140.txt,www.zugo.md,"Un barbat din raionul Causeni, impuscat intr-o padure: Ar fi fost omorit de un vinator",2018-12-31T09:58:44+00:00,Stiri
50141.txt,www.zugo.md,"foto, video | #PrimaData. Cum sa te pregatesti moral si fizic pentru primul act sexual: Experiente si sfaturi",2018-10-17T09:57:37+00:00,Stiri
50142.txt,www.zugo.md,"foto | #PrimaData. Citate motivationale, pufosenii sau simboluri ale iubirii. Ce trebuie sa stii cind vrei sa-ti faci primul tatuaj?",2018-11-28T11:17:24+00:00,Stiri
50143.txt,www.zugo.md,"Dupa sase ani, trupa Jonas Brothers se intoarce cu un nou single. Piesa „Sucker” va fi lansata in aceasta noapte",2019-02-28T17:32:43+00:00,Stiri
50144.txt,www.zugo.md,"video | Asia de Est, luminata de focuri de artificii. Cum a fost intimpinat Revelionul in Coreea de Nord si de Sud?",2018-12-31T18:21:00+00:00,Stiri
50145.txt,www.zugo.md,#PrimaData. Ce trebuie sa stii cind faci prima vizita la medicul stomatolog?,2018-09-26T11:37:16+00:00,Stiri
50146.txt,www.zugo.md,"Eroul Saptaminii: A reusit sa trezeasca spiritul civic in tara, prin proiectul „Hai Moldova”. Cunoaste-o pe Taisia Camenscic",2018-09-17T20:05:49+00:00,Stiri
50147.txt,www.zugo.md,"Biletele pentru Eurovision, puse in vinzare incepind de astazi. Citi dolari vor scoate din buzunar cei care isi doresc un loc VIP?",2019-02-28T16:33:15+00:00,Stiri
50148.txt,www.zugo.md,video | Ai devenit martorul unui accident rutier? Pompierul Dmitrii Polscin iti spune cum (nu) trebuie sa ajuti victima,2018-08-28T10:03:20+00:00,Stiri
